host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T19:12:29.509,tamiya_75026_v1,normal,11628960,3043,12032,120325,1
2026-09-03T19:12:29.519,tamiya_75026_v1,normal,11628970,3031,9612,96125,2
2026-09-03T19:12:29.529,tamiya_75026_v1,normal,11628980,3043,13860,138600,1
2026-09-03T19:12:29.538,tamiya_75026_v1,normal,11628989,3040,12125,121250,2
2026-09-03T19:12:29.548,tamiya_75026_v1,normal,11628999,3032,10027,100275,1
2026-09-03T19:12:29.558,tamiya_75026_v1,normal,11629009,3045,13050,130500,2
2026-09-03T19:12:29.568,tamiya_75026_v1,normal,11629019,3038,10517,105175,1
2026-09-03T19:12:29.578,tamiya_75026_v1,normal,11629029,3035,10497,104975,2
2026-09-03T19:12:29.588,tamiya_75026_v1,normal,11629039,3047,13885,138850,1
2026-09-03T19:12:29.599,tamiya_75026_v1,normal,11629050,3033,10867,108675,2
2026-09-03T19:12:29.608,tamiya_75026_v1,normal,11629059,3038,11777,117775,2
2026-09-03T19:12:29.618,tamiya_75026_v1,normal,11629069,3044,13552,135525,1
2026-09-03T19:12:29.629,tamiya_75026_v1,normal,11629080,3033,11002,110025,2
2026-09-03T19:12:29.639,tamiya_75026_v1,normal,11629090,3050,14430,144300,1
2026-09-03T19:12:29.649,tamiya_75026_v1,normal,11629100,3044,11912,119125,2
2026-09-03T19:12:29.658,tamiya_75026_v1,normal,11629109,3031,10577,105775,1
2026-09-03T19:12:29.668,tamiya_75026_v1,normal,11629119,3046,14467,144675,2
2026-09-03T19:12:29.679,tamiya_75026_v1,normal,11629130,3037,9627,96275,2
2026-09-03T19:12:29.688,tamiya_75026_v1,normal,11629139,3041,13177,131775,1
2026-09-03T19:12:29.698,tamiya_75026_v1,normal,11629149,3049,14497,144975,1
2026-09-03T19:12:29.709,tamiya_75026_v1,normal,11629160,3031,9790,97900,2
2026-09-03T19:12:29.718,tamiya_75026_v1,normal,11629169,3045,12507,125075,2
2026-09-03T19:12:29.728,tamiya_75026_v1,normal,11629179,3046,13255,132550,1
2026-09-03T19:12:29.739,tamiya_75026_v1,normal,11629190,3032,10185,101850,2
2026-09-03T19:12:29.749,tamiya_75026_v1,normal,11629200,3047,14652,146525,1
2026-09-03T19:12:29.759,tamiya_75026_v1,normal,11629210,3035,11205,112050,2
2026-09-03T19:12:29.768,tamiya_75026_v1,normal,11629219,3034,10887,108875,1
2026-09-03T19:12:29.778,tamiya_75026_v1,normal,11629229,3050,13662,136625,2
2026-09-03T19:12:29.788,tamiya_75026_v1,normal,11629239,3034,9700,97000,1
2026-09-03T19:12:29.798,tamiya_75026_v1,normal,11629249,3038,11557,115575,2
2026-09-03T19:12:29.809,tamiya_75026_v1,normal,11629260,3045,12515,125150,2
2026-09-03T19:12:29.818,tamiya_75026_v1,normal,11629269,3032,10355,103550,1
2026-09-03T19:12:29.829,tamiya_75026_v1,normal,11629280,3046,14497,144975,2
2026-09-03T19:12:29.838,tamiya_75026_v1,normal,11629289,3040,12022,120225,1
2026-09-03T19:12:29.848,tamiya_75026_v1,normal,11629299,3032,9795,97950,2
2026-09-03T19:12:29.858,tamiya_75026_v1,normal,11629309,3051,14602,146025,1
2026-09-03T19:12:29.869,tamiya_75026_v1,normal,11629320,3037,10357,103575,2
2026-09-03T19:12:29.878,tamiya_75026_v1,normal,11629329,3034,11407,114075,1
2026-09-03T19:12:29.888,tamiya_75026_v1,normal,11629339,3045,13745,137450,2
2026-09-03T19:12:29.899,tamiya_75026_v1,normal,11629350,3032,10207,102075,1
2026-09-03T19:12:29.909,tamiya_75026_v1,normal,11629360,3044,14595,145950,2
2026-09-03T19:12:29.919,tamiya_75026_v1,normal,11629370,3046,13217,132175,2
2026-09-03T19:12:29.929,tamiya_75026_v1,normal,11629380,3033,10952,109525,1
2026-09-03T19:12:29.938,tamiya_75026_v1,normal,11629389,3047,13760,137600,1
2026-09-03T19:12:29.949,tamiya_75026_v1,normal,11629400,3040,9767,97675,2
2026-09-03T19:12:29.958,tamiya_75026_v1,normal,11629409,3039,11607,116075,2
2026-09-03T19:12:29.969,tamiya_75026_v1,normal,11629420,3049,14927,149275,1
2026-09-03T19:12:29.978,tamiya_75026_v1,normal,11629429,3037,10577,105775,2
2026-09-03T19:12:29.989,tamiya_75026_v1,normal,11629440,3044,13255,132550,1
2026-09-03T19:12:29.998,tamiya_75026_v1,normal,11629449,3050,13480,134800,2
2026-09-03T19:12:30.008,tamiya_75026_v1,normal,11629459,3034,9787,97875,1
2026-09-03T19:12:30.019,tamiya_75026_v1,normal,11629470,3047,13530,135300,2
2026-09-03T19:12:30.028,tamiya_75026_v1,normal,11629479,3043,10295,102950,1
2026-09-03T19:12:30.038,tamiya_75026_v1,normal,11629489,3034,11880,118800,2
2026-09-03T19:12:30.048,tamiya_75026_v1,normal,11629499,3046,14950,149500,1
2026-09-03T19:12:30.058,tamiya_75026_v1,normal,11629509,3032,10075,100750,2
2026-09-03T19:12:30.068,tamiya_75026_v1,normal,11629519,3041,12420,124200,2
