host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T20:50:34.080,tamiya_75026_v1,elevated_load,1144390,3029,19477,194775,0
2026-09-03T20:50:34.090,tamiya_75026_v1,elevated_load,1144401,3028,18490,184900,0
2026-09-03T20:50:34.099,tamiya_75026_v1,elevated_load,1144410,3029,20512,205125,0
2026-09-03T20:50:34.109,tamiya_75026_v1,elevated_load,1144420,3029,18745,187450,0
2026-09-03T20:50:34.121,tamiya_75026_v1,elevated_load,1144431,3029,20092,200925,0
2026-09-03T20:50:34.129,tamiya_75026_v1,elevated_load,1144440,3031,20267,202675,0
2026-09-03T20:50:34.141,tamiya_75026_v1,elevated_load,1144451,3028,19660,196600,0
2026-09-03T20:50:34.150,tamiya_75026_v1,elevated_load,1144460,3029,20292,202925,0
2026-09-03T20:50:34.161,tamiya_75026_v1,elevated_load,1144471,3032,19602,196025,0
2026-09-03T20:50:34.170,tamiya_75026_v1,elevated_load,1144480,3031,18587,185875,0
2026-09-03T20:50:34.181,tamiya_75026_v1,elevated_load,1144491,3028,20727,207275,0
2026-09-03T20:50:34.190,tamiya_75026_v1,elevated_load,1144500,3027,18777,187775,0
2026-09-03T20:50:34.200,tamiya_75026_v1,elevated_load,1144510,3031,20897,208975,0
2026-09-03T20:50:34.210,tamiya_75026_v1,elevated_load,1144521,3027,20640,206400,0
2026-09-03T20:50:34.220,tamiya_75026_v1,elevated_load,1144530,3029,20962,209625,0
2026-09-03T20:50:34.230,tamiya_75026_v1,elevated_load,1144540,3029,20382,203825,0
2026-09-03T20:50:34.241,tamiya_75026_v1,elevated_load,1144551,3029,19502,195025,0
2026-09-03T20:50:34.250,tamiya_75026_v1,elevated_load,1144560,3029,20532,205325,0
2026-09-03T20:50:34.260,tamiya_75026_v1,elevated_load,1144570,3031,18712,187125,0
2026-09-03T20:50:34.270,tamiya_75026_v1,elevated_load,1144580,3033,19460,194600,0
2026-09-03T20:50:34.280,tamiya_75026_v1,elevated_load,1144590,3029,18500,185000,0
2026-09-03T20:50:34.290,tamiya_75026_v1,elevated_load,1144600,3032,20035,200350,0
2026-09-03T20:50:34.300,tamiya_75026_v1,elevated_load,1144610,3028,19245,192450,0
2026-09-03T20:50:34.311,tamiya_75026_v1,elevated_load,1144621,3029,19890,198900,0
2026-09-03T20:50:34.320,tamiya_75026_v1,elevated_load,1144630,3028,20680,206800,0
2026-09-03T20:50:34.331,tamiya_75026_v1,elevated_load,1144641,3032,18617,186175,0
2026-09-03T20:50:34.340,tamiya_75026_v1,elevated_load,1144650,3029,19645,196450,0
2026-09-03T20:50:34.350,tamiya_75026_v1,elevated_load,1144660,3029,20562,205625,0
2026-09-03T20:50:34.361,tamiya_75026_v1,elevated_load,1144671,3031,19967,199675,0
2026-09-03T20:50:34.370,tamiya_75026_v1,elevated_load,1144680,3032,20045,200450,0
2026-09-03T20:50:34.381,tamiya_75026_v1,elevated_load,1144691,3029,20995,209950,0
2026-09-03T20:50:34.390,tamiya_75026_v1,elevated_load,1144700,3028,20695,206950,0
2026-09-03T20:50:34.400,tamiya_75026_v1,elevated_load,1144710,3028,20227,202275,0
2026-09-03T20:50:34.411,tamiya_75026_v1,elevated_load,1144721,3028,20190,201900,0
2026-09-03T20:50:34.420,tamiya_75026_v1,elevated_load,1144730,3028,20267,202675,0
2026-09-03T20:50:34.430,tamiya_75026_v1,elevated_load,1144740,3029,20637,206375,0
2026-09-03T20:50:34.440,tamiya_75026_v1,elevated_load,1144750,3032,18985,189850,0
2026-09-03T20:50:34.450,tamiya_75026_v1,elevated_load,1144761,3032,21080,210800,0
2026-09-03T20:50:34.460,tamiya_75026_v1,elevated_load,1144770,3028,20455,204550,0
2026-09-03T20:50:34.471,tamiya_75026_v1,elevated_load,1144781,3029,20880,208800,0
2026-09-03T20:50:34.480,tamiya_75026_v1,elevated_load,1144790,3029,19817,198175,0
2026-09-03T20:50:34.490,tamiya_75026_v1,elevated_load,1144800,3029,21112,211125,0
2026-09-03T20:50:34.501,tamiya_75026_v1,elevated_load,1144811,3032,19222,192225,0
2026-09-03T20:50:34.510,tamiya_75026_v1,elevated_load,1144820,3029,19312,193125,0
2026-09-03T20:50:34.520,tamiya_75026_v1,elevated_load,1144830,3032,19340,193400,0
2026-09-03T20:50:34.530,tamiya_75026_v1,elevated_load,1144840,3029,20340,203400,0
2026-09-03T20:50:34.541,tamiya_75026_v1,elevated_load,1144851,3032,20050,200500,0
2026-09-03T20:50:34.550,tamiya_75026_v1,elevated_load,1144860,3029,19005,190050,0
2026-09-03T20:50:34.560,tamiya_75026_v1,elevated_load,1144870,3029,19917,199175,0
2026-09-03T20:50:34.571,tamiya_75026_v1,elevated_load,1144881,3026,20047,200475,0
2026-09-03T20:50:34.580,tamiya_75026_v1,elevated_load,1144890,3031,19120,191200,0
2026-09-03T20:50:34.590,tamiya_75026_v1,elevated_load,1144900,3028,18715,187150,0
2026-09-03T20:50:34.601,tamiya_75026_v1,elevated_load,1144911,3033,19625,196250,0
2026-09-03T20:50:34.610,tamiya_75026_v1,elevated_load,1144920,3029,18900,189000,0
2026-09-03T20:50:34.620,tamiya_75026_v1,elevated_load,1144930,3032,19927,199275,0
2026-09-03T20:50:34.631,tamiya_75026_v1,elevated_load,1144941,3028,20110,201100,0
