host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T20:54:09.656,tamiya_75026_v1,current_limited_stall,1359970,1003,24360,243600,0
2026-09-03T20:54:09.666,tamiya_75026_v1,current_limited_stall,1359980,1006,24395,243950,0
2026-09-03T20:54:09.677,tamiya_75026_v1,current_limited_stall,1359991,1008,24387,243875,0
2026-09-03T20:54:09.686,tamiya_75026_v1,current_limited_stall,1360000,1031,24417,244175,0
2026-09-03T20:54:09.696,tamiya_75026_v1,current_limited_stall,1360010,1028,24380,243800,0
2026-09-03T20:54:09.707,tamiya_75026_v1,current_limited_stall,1360021,1028,24385,243850,0
2026-09-03T20:54:09.716,tamiya_75026_v1,current_limited_stall,1360030,1024,24372,243725,0
2026-09-03T20:54:09.726,tamiya_75026_v1,current_limited_stall,1360040,1025,24382,243825,0
2026-09-03T20:54:09.736,tamiya_75026_v1,current_limited_stall,1360050,1026,24387,243875,0
2026-09-03T20:54:09.746,tamiya_75026_v1,current_limited_stall,1360060,1026,24370,243700,0
2026-09-03T20:54:09.757,tamiya_75026_v1,current_limited_stall,1360071,1025,24377,243775,0
2026-09-03T20:54:09.766,tamiya_75026_v1,current_limited_stall,1360080,1025,24377,243775,0
2026-09-03T20:54:09.776,tamiya_75026_v1,current_limited_stall,1360090,1025,24367,243675,0
2026-09-03T20:54:09.786,tamiya_75026_v1,current_limited_stall,1360100,1025,24370,243700,1
2026-09-03T20:54:09.796,tamiya_75026_v1,current_limited_stall,1360110,1025,24375,243750,0
2026-09-03T20:54:09.807,tamiya_75026_v1,current_limited_stall,1360121,1026,24322,243225,0
2026-09-03T20:54:09.817,tamiya_75026_v1,current_limited_stall,1360131,1071,24380,243800,1
2026-09-03T20:54:09.826,tamiya_75026_v1,current_limited_stall,1360140,1056,24372,243725,0
2026-09-03T20:54:09.836,tamiya_75026_v1,current_limited_stall,1360150,1048,24372,243725,0
2026-09-03T20:54:09.846,tamiya_75026_v1,current_limited_stall,1360160,1043,24367,243675,0
2026-09-03T20:54:09.856,tamiya_75026_v1,current_limited_stall,1360170,1042,24377,243775,0
2026-09-03T20:54:09.867,tamiya_75026_v1,current_limited_stall,1360181,1043,24385,243850,0
2026-09-03T20:54:09.876,tamiya_75026_v1,current_limited_stall,1360190,1043,24360,243600,0
2026-09-03T20:54:09.886,tamiya_75026_v1,current_limited_stall,1360200,1041,24382,243825,0
2026-09-03T20:54:09.896,tamiya_75026_v1,current_limited_stall,1360210,1046,24365,243650,0
2026-09-03T20:54:09.907,tamiya_75026_v1,current_limited_stall,1360221,1035,24375,243750,0
2026-09-03T20:54:09.916,tamiya_75026_v1,current_limited_stall,1360230,1035,24372,243725,0
2026-09-03T20:54:09.926,tamiya_75026_v1,current_limited_stall,1360240,1034,24377,243775,0
2026-09-03T20:54:09.936,tamiya_75026_v1,current_limited_stall,1360250,1031,24372,243725,0
2026-09-03T20:54:09.947,tamiya_75026_v1,current_limited_stall,1360261,1040,24372,243725,0
2026-09-03T20:54:09.956,tamiya_75026_v1,current_limited_stall,1360270,1047,24340,243400,0
2026-09-03T20:54:09.966,tamiya_75026_v1,current_limited_stall,1360280,1074,24317,243175,0
2026-09-03T20:54:09.976,tamiya_75026_v1,current_limited_stall,1360290,1077,24412,244125,0
2026-09-03T20:54:09.986,tamiya_75026_v1,current_limited_stall,1360300,1049,24350,243500,0
2026-09-03T20:54:09.996,tamiya_75026_v1,current_limited_stall,1360310,1044,24362,243625,0
