instance,row,col,x,y
u_spu26/node_0,8,15,0.05555555555555555,0.05555555555555555
u_spu26/node_1,14,15,0.05555555555555555,0.16666666666666666
u_spu26/node_2,22,15,0.05555555555555555,0.2777777777777778
u_spu26/node_3,8,29,0.16666666666666666,0.05555555555555555
u_spu26/node_4,22,29,0.16666666666666666,0.2777777777777778
u_spu26/node_5,8,43,0.2777777777777778,0.05555555555555555
u_spu26/node_6,14,43,0.2777777777777778,0.16666666666666666
u_spu26/node_7,22,43,0.2777777777777778,0.2777777777777778
u_spu26/node_8,28,15,0.05555555555555555,0.38888888888888884
u_spu26/node_9,36,15,0.05555555555555555,0.5
u_spu26/node_10,42,15,0.05555555555555555,0.6111111111111112
u_spu26/node_11,28,29,0.16666666666666666,0.38888888888888884
u_spu26/node_12,42,29,0.16666666666666666,0.6111111111111112
u_spu26/node_13,28,43,0.2777777777777778,0.38888888888888884
u_spu26/node_14,36,43,0.2777777777777778,0.5
u_spu26/node_15,42,43,0.2777777777777778,0.6111111111111112
u_spu26/node_16,50,15,0.05555555555555555,0.7222222222222222
u_spu26/node_17,56,15,0.05555555555555555,0.8333333333333333
u_spu26/node_18,63,15,0.05555555555555555,0.9444444444444444
u_spu26/node_19,50,29,0.16666666666666666,0.7222222222222222
u_spu26/node_20,63,29,0.16666666666666666,0.9444444444444444
u_spu26/node_21,50,43,0.2777777777777778,0.7222222222222222
u_spu26/node_22,56,43,0.2777777777777778,0.8333333333333333
u_spu26/node_23,63,43,0.2777777777777778,0.9444444444444444
u_spu26/node_24,8,57,0.38888888888888884,0.05555555555555555
u_spu26/node_25,14,57,0.38888888888888884,0.16666666666666666
u_spu26/node_26,22,57,0.38888888888888884,0.2777777777777778
u_spu26/node_27,8,72,0.5,0.05555555555555555
u_spu26/node_28,22,72,0.5,0.2777777777777778
u_spu26/node_29,8,86,0.6111111111111112,0.05555555555555555
u_spu26/node_30,14,86,0.6111111111111112,0.16666666666666666
u_spu26/node_31,22,86,0.6111111111111112,0.2777777777777778
u_spu26/node_32,50,57,0.38888888888888884,0.7222222222222222
u_spu26/node_33,56,57,0.38888888888888884,0.8333333333333333
u_spu26/node_34,63,57,0.38888888888888884,0.9444444444444444
u_spu26/node_35,50,72,0.5,0.7222222222222222
u_spu26/node_36,63,72,0.5,0.9444444444444444
u_spu26/node_37,50,86,0.6111111111111112,0.7222222222222222
u_spu26/node_38,56,86,0.6111111111111112,0.8333333333333333
u_spu26/node_39,63,86,0.6111111111111112,0.9444444444444444
u_spu26/node_40,8,100,0.7222222222222222,0.05555555555555555
u_spu26/node_41,14,100,0.7222222222222222,0.16666666666666666
u_spu26/node_42,22,100,0.7222222222222222,0.2777777777777778
u_spu26/node_43,8,114,0.8333333333333333,0.05555555555555555
u_spu26/node_44,22,114,0.8333333333333333,0.2777777777777778
u_spu26/node_45,8,127,0.9444444444444444,0.05555555555555555
u_spu26/node_46,14,127,0.9444444444444444,0.16666666666666666
u_spu26/node_47,22,127,0.9444444444444444,0.2777777777777778
u_spu26/node_48,28,100,0.7222222222222222,0.38888888888888884
u_spu26/node_49,36,100,0.7222222222222222,0.5
u_spu26/node_50,42,100,0.7222222222222222,0.6111111111111112
u_spu26/node_51,28,114,0.8333333333333333,0.38888888888888884
u_spu26/node_52,42,114,0.8333333333333333,0.6111111111111112
u_spu26/node_53,28,127,0.9444444444444444,0.38888888888888884
u_spu26/node_54,36,127,0.9444444444444444,0.5
u_spu26/node_55,42,127,0.9444444444444444,0.6111111111111112
u_spu26/node_56,50,100,0.7222222222222222,0.7222222222222222
u_spu26/node_57,56,100,0.7222222222222222,0.8333333333333333
u_spu26/node_58,63,100,0.7222222222222222,0.9444444444444444
u_spu26/node_59,50,114,0.8333333333333333,0.7222222222222222
u_spu26/node_60,63,114,0.8333333333333333,0.9444444444444444
u_spu26/node_61,50,127,0.9444444444444444,0.7222222222222222
u_spu26/node_62,56,127,0.9444444444444444,0.8333333333333333
u_spu26/node_63,63,127,0.9444444444444444,0.9444444444444444
