material,r,V,p_int,q_int,recon,dissoc
carbon,0.77,2.7312205856601699871526634533198788930333803755194855325832669510700709692478194E-18,0,0,0E-79,1
carbon,0.771505376344086,2.7132623720996932293787649070497743065042538128916136460417109214165894056584622E-18,0,0,0E-79,1
carbon,0.7730107526881721,2.6954036973058748260035447777290081143835634954504118897413483905347971308462076E-18,0,0,0E-79,1
carbon,0.7745161290322581,2.6776440707645847628334425794068868626046529008730775665230382293488603212257031E-18,0,0,0E-79,1
carbon,0.7760215053763441,2.6599830042666503287798627838167257983521461228681077856439875045365097045655904E-18,0,0,0E-79,1
carbon,0.7775268817204302,2.6424200118972502265994548743862481885926558780734975713188078984723033939844342E-18,0,0,0E-79,1
carbon,0.7790322580645161,2.6249546100253796681541456732017203795814297771412437061667087303352902697677893E-18,0,0,0E-79,1
carbon,0.7805376344086021,2.6075863172933245812192577840779131838160488297852406890602138632176375764421687E-18,0,0,0E-79,1
carbon,0.7820430107526882,2.5903146546062270938172242469192832350866538031568694186417522396138744521806893E-18,0,0,0E-79,1
carbon,0.7835483870967742,2.5731391451216627927634090888068516684754475914973465349554532830282100546583704E-18,0,0,0E-79,1
carbon,0.7850537634408602,2.5560593142392887068077267130089051588359087109747331777744763309052908952596452E-18,0,0,0E-79,1
carbon,0.7865591397849463,2.5390746895905273462362798779412059441798899433230783532864482563174096249453990E-18,0,0,0E-79,1
carbon,0.7880645161290323,2.5221848010282974678660143223287394564321010656682159651147044925598849668867587E-18,0,0,0E-79,1
carbon,0.7895698924731183,2.5053891806167978584867965246924782940477133583307342022340905894069470405404473E-18,0,0,0E-79,1
carbon,0.7910752688172044,2.4886873626213310695569896029913986932447590281831937784197525133902715352671365E-18,0,0,0E-79,1
carbon,0.7925806451612903,2.4720788834981809117964106172650260669098010256405896430756958925682766671166285E-18,0,0,0E-79,1
carbon,0.7940860215053763,2.4555632818845264133880573850909763856134110023691973616372261614157288478922900E-18,0,0,0E-79,1
carbon,0.7955913978494624,2.4391400985884076937171116408069860525810758365601537350980152114544728775154037E-18,0,0,0E-79,1
carbon,0.7970967741935484,2.4228088765787462470165306328023293829485314122747273678803881030505836266769693E-18,0,0,0E-79,1
carbon,0.7986021505376344,2.4065691609753821968212848425206720010310752019021222612538203109021981744578152E-18,0,0,0E-79,1
carbon,0.8001075268817205,2.3904204990391945671971819650279114365968423494637810491829154787142504453848070E-18,0,0,0E-79,1
carbon,0.8016129032258065,2.3743624401622376548517824047224859619521746283459505187653567898336537719852300E-18,0,0,0E-79,1
carbon,0.8031182795698925,2.3583945358579343694878285573444683149518411456061681294875611642129733281093217E-18,0,0,0E-79,1
carbon,0.8046236559139786,2.3425163397513097702170719641734493100755751846624056658549442474340304194417402E-18,0,0,0E-79,1
carbon,0.8061290322580645,2.3267274075692844149840501841850870320739563716209117636101219261437522426825506E-18,0,0,0E-79,1
carbon,0.8076344086021505,2.3110272971309772694399723330250537019994863089184916361868632243660807423571414E-18,0,0,0E-79,1
carbon,0.8091397849462366,2.2954155683380925042874665899948484764411252320179908913321381747310735393704082E-18,0,0,0E-79,1
carbon,0.8106451612903226,2.2798917831653279824969063818693478695771966645296414492975086155242907341142919E-18,0,0,0E-79,1
carbon,0.8121505376344086,2.2644555056508272659654387502728055131012912424850062787306884537185743230618210E-18,0,0,0E-79,1
carbon,0.8136559139784947,2.2491063018866795107019354419624558891911387338611460818793614515247564555432278E-18,0,0,0E-79,1
carbon,0.8151612903225807,2.2338437400094728598132921355069071484141131234534610911353058442958081903087234E-18,0,0,0E-79,1
carbon,0.8166666666666667,2.2186673901908667012001155950116699032455030161068503486789970017240181546337685E-18,0,0,0E-79,1
carbon,0.8181720430107527,2.2035768246282276312070167410829056742273822241245652982711084953118897207577061E-18,0,0,0E-79,1
carbon,0.8196774193548387,2.1885716175353007742271172721041387946568024092482355062056038690135167149430762E-18,0,0,0E-79,1
carbon,0.8211827956989247,2.1736513451329254056963448354843829322913401977671475085215377795320745707710758E-18,0,0,0E-79,1
carbon,0.8226881720430108,2.1588155856397866027923258182997709937288148010675193849172001087533530186033048E-18,0,0,0E-79,1
carbon,0.8241935483870968,2.1440639192632211376284258621459920840508550318242644331681147884693415900826602E-18,0,0,0E-79,1
carbon,0.8256989247311828,2.1293959281900496243328228451508463246216118003857485390294995363077498042407099E-18,0,0,0E-79,1
carbon,0.8272043010752689,2.1148111965774629636906518234682214236387261064286381774975316252820367486727427E-18,0,0,0E-79,1
carbon,0.8287096774193549,2.1003093105439504801762042636698515163899955071790782917535125831233476515417750E-18,0,0,0E-79,1
carbon,0.8302150537634408,2.0858898581602559460140344547677097471232140379262739119369239054452124762357763E-18,0,0,0E-79,1
carbon,0.8317204301075269,2.0715524294403900766320748964681705646481767058530196162336132442045409778830875E-18,0,0,0E-79,1
carbon,0.8332258064516129,2.0572966163326743047360816425440826129079055269375669658043662200947956586786922E-18,0,0,0E-79,1
carbon,0.8347311827956989,2.0431220127108341358281770649057080492419443214741463465892152278420008236406616E-18,0,0,0E-79,1
carbon,0.836236559139785,2.0290282143651213335567242959618547341958841891965341573982073444593480408784068E-18,0,0,0E-79,1
carbon,0.837741935483871,2.0150148189934840278075218348039277647173428075101984165511269118857328070823771E-18,0,0,0E-79,1
carbon,0.839247311827957,2.0010814261927848145813463719927614578042509919678463311109984749011413011209655E-18,0,0,0E-79,1
carbon,0.8407526881720431,1.9872276374500345444485445372828929359000901201120380321365985473909779551549373E-18,0,0,0E-79,1
carbon,0.8422580645161291,1.9734530561336936814150891915956195617054955719766337710113570975381850755677122E-18,0,0,0E-79,1
carbon,0.843763440860215,1.9597572874850007971081515355738911688939001153470215465372151148456383805947438E-18,0,0,0E-79,1
carbon,0.8452688172043011,1.9461399386093283239277914792291014466423730686759968725805738223893657377746182E-18,0,0,0E-79,1
carbon,0.8467741935483871,1.9326006184676090168977593569272532248150240845582626335024424105291089210608222E-18,0,0,0E-79,1
