file,lines,size,readmem_count,max_reg_index,has_real,has_float,fp_string_count
"hardware/spu13/rtl/spu_janus_mirror.v",89,3473,0,0,0,0,0
"hardware/spu13/rtl/spu_berry_gate.v",25,960,0,23,0,0,0
"hardware/spu13/rtl/spu_permute_13.v",21,765,0,0,0,0,0
"hardware/spu13/rtl/spu_13_top.v",154,4694,0,23,0,0,0
"hardware/spu13/tb/testbench_genesis.v",75,2465,0,15,0,0,0
"hardware/spu13/tests/spu13_manifold_tb.v",72,2205,0,63,0,0,0
"hardware/spu13/tests/spu_artery_tb.v",91,3390,0,63,0,0,0
"hardware/spu13/tests/spu_whisper_tb.v",104,3027,0,15,0,0,0
"hardware/common/rtl/spu_soft_start.v",59,1966,0,15,0,0,0
"hardware/common/rtl/spu_bus_arbiter.v",123,4508,0,4,0,0,0
"hardware/common/rtl/spu_instruction_decoder.v",15,432,0,0,0,0,0
"hardware/common/rtl/spu_microcode_rom.v",17,403,1,23,0,0,0
"hardware/common/rtl/spu_register_file.v",31,905,0,17,0,0,0
"hardware/common/rtl/spu_whisper_bridge.v",135,5189,0,831,0,0,0
"hardware/common/rtl/spu_davis_gate.v",42,1370,0,0,0,0,0
"hardware/common/rtl/core/davis_gate_dsp.v",117,5158,0,0,0,0,0
"hardware/common/rtl/core/spu13_sequencer.v",60,1980,0,3,0,0,0
"hardware/common/rtl/core/spu13_rotor_core.v",96,4394,0,63,0,0,0
"hardware/common/rtl/core/spu_execution_unit.v",146,5306,0,15,0,0,0
"hardware/common/rtl/core/spu13_scoreboard.v",47,1541,0,25,0,0,0
"hardware/common/rtl/core/spu_identity_monad.v",35,1364,0,0,0,0,0
"hardware/common/rtl/core/spu_tensegrity_balancer.v",75,2716,0,0,0,0,0
"hardware/common/rtl/core/spu_core.v",165,6338,0,831,0,0,0
"hardware/common/rtl/core/spu_light_core.v",62,2155,0,255,0,0,0
"hardware/common/rtl/core/spu_nano_core.v",85,3136,0,127,0,0,0
"hardware/common/rtl/core/spu_command_processor.v",119,4032,0,63,0,0,0
"hardware/common/rtl/core/spu_folded_alu.v",49,1941,0,127,0,0,0
"hardware/common/rtl/core/spu1_alu.v",54,1546,0,0,0,0,0
"hardware/common/rtl/core/spu13_core.v",169,6039,0,12,0,0,0
"hardware/common/rtl/core/spu_rotor_vault.v",87,4173,0,31,0,0,0
"hardware/common/rtl/core/spu_unified_alu_tdm.v",272,10654,0,127,0,0,0
"hardware/common/rtl/core/rplu_artery_decoder.v",67,2587,0,63,0,0,0
"hardware/common/rtl/core/rplu_cfg_cdc.v",144,5393,0,63,0,0,0
"hardware/common/rtl/core/gowin_mult18_sim.v",18,486,0,0,0,0,0
"hardware/common/rtl/proto/SPU_ARTERY_FIFO.v",56,1560,0,63,0,0,0
"hardware/common/rtl/proto/SPU_WHISPER_TX.v",75,2342,0,31,0,0,0
"hardware/common/rtl/proto/SPU_WHISPER_RX.v",134,5777,0,63,0,0,0
"hardware/common/rtl/proto/spu_node_link.v",78,3473,0,31,0,0,0
"hardware/common/rtl/proto/spu_pmod_loader.v",57,1773,0,831,0,0,0
"hardware/common/rtl/proto/spu_flash_bridge.v",166,6957,0,23,0,0,0
"hardware/common/rtl/proto/spu_spi_slave.v",323,13548,0,63,0,0,0
"hardware/common/rtl/proto/spu_artery_serial_tx.v",131,5266,0,7,0,0,0
"hardware/common/rtl/proto/spu_artery_serial_rx.v",166,6857,0,63,0,0,0
"hardware/common/rtl/proto/spu_governor_mux.v",69,2799,0,63,0,0,0
"hardware/common/rtl/prim/spu_multiplier_serial.v",50,1327,0,31,0,0,0
"hardware/common/rtl/prim/spu_smul_tdm.v",87,2750,0,2,0,0,0
"hardware/common/rtl/prim/spu_tetra_primitives.v",15,518,0,0,0,0,0
"hardware/common/rtl/prim/spu_psram_ctrl.v",258,10196,0,831,1,0,0
"hardware/common/rtl/prim/spu_smul.v",28,954,0,0,0,0,0
