"Reference","Value","Footprint"
"A1","A1",""
"FLG1","FLG1",""
"FLG2","FLG2",""
"J2","J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"
"J3","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"
"J4","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"J5","J5","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical"
"J6","J6","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical"
"J6B?","J6B","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical"
"J7","J7","Connector_USB:USB_A_Molex_48037-2200_Horizontal"
"J8","J8","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical"
"JP2A?","JP2A","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"JP2B?","JP2B","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"LED1","LED1","LED_THT:LED_D3.0mm"
"LED2","LED2","LED_THT:LED_D3.0mm"
"R1","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R2","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R3","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R4","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R5","R5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R6","R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R7","R7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R8","R8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R9","R9","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R10","R10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R11","R11","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R12","R12","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"T1","T1","TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal"
"T2","T2","TerminalBlock_RND:TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal"
