material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,0.77,2.7312205856601703043313278142272029147523511323693997334566137625656705031853830E-18,0,0,0E-79,1
carbon,6,0.771505376344086,2.7132623720996925476551060265339476508380472104224264166246346877454589469462037E-18,0,0,0E-79,1
carbon,6,0.7730107526881721,2.6954036973058738385723524312326080081405973683814812377036202285541310710040856E-18,0,0,0E-79,1
carbon,6,0.7745161290322581,2.6776440707645848419770835295847737903448260202735384145683630128092999483520255E-18,0,0,0E-79,1
carbon,6,0.7760215053763441,2.6599830042666498313969500640509043465002824143105357937868621975963087947104546E-18,0,0,0E-79,1
carbon,6,0.7775268817204302,2.6424200118972506057874678414042019741762722875770262724833656714487929222615999E-18,0,0,0E-79,1
carbon,6,0.7790322580645161,2.6249546100253796889100672587465352631048990834645188941939187546406125672997149E-18,0,0,0E-79,1
carbon,6,0.7805376344086021,2.6075863172933252917646898584555503278343528072653165178706950315871167562538955E-18,0,0,0E-79,1
carbon,6,0.7820430107526882,2.5903146546062262071558387432817063752098655685111376373021196578588196651962158E-18,0,0,0E-79,1
carbon,6,0.7835483870967742,2.5731391451216625707398341427679383461240185309092998261723791160550109838938332E-18,0,0,0E-79,1
carbon,6,0.7850537634408602,2.5560593142392895113405202959712470247014101191245378432105159702143641046572043E-18,0,0,0E-79,1
carbon,6,0.7865591397849463,2.5390746895905271533082914740703110266878092652732143215861865346660414044888651E-18,0,0,0E-79,1
carbon,6,0.7880645161290323,2.5221848010282974518350263742999579112021835440377672398823551137142027982328405E-18,0,0,0E-79,1
carbon,6,0.7895698924731183,2.5053891806167976372843236402225597905927123761503111915927041967135973597331557E-18,0,0,0E-79,1
carbon,6,0.7910752688172044,2.4886873626213303651258664590838190346472285266979077825685094947125161451140398E-18,0,0,0E-79,1
carbon,6,0.7925806451612903,2.4720788834981811657329140104709606976739406989919790214953990752185367787371170E-18,0,0,0E-79,1
carbon,6,0.7940860215053763,2.4555632818845265326599049499550293438828359518319114469580108902399071291283497E-18,0,0,0E-79,1
carbon,6,0.7955913978494624,2.4391400985884089443121487385790079393655580062789670798699965962231605526722534E-18,0,0,0E-79,1
carbon,6,0.7970967741935484,2.4228088765787464216593755552712533972360294054543109865949940539287570881014579E-18,0,0,0E-79,1
carbon,6,0.7986021505376344,2.4065691609753832997656287445911612917947407383496997190781369313353810169893886E-18,0,0,0E-79,1
carbon,6,0.8001075268817205,2.3904204990391950120677404714486255635906737910205956156364792184180812319281675E-18,0,0,0E-79,1
carbon,6,0.8016129032258065,2.3743624401622378332814578258111505389945965385230541237594752278063425563994694E-18,0,0,0E-79,1
carbon,6,0.8031182795698925,2.3583945358579338590326354067603595617932817697925619108014030521877115473393330E-18,0,0,0E-79,1
carbon,6,0.8046236559139786,2.3425163397513103277025532848546967498186838323664300293852113947172925866190993E-18,0,0,0E-79,1
