instance,row,col,x,y
u_spu26/node_0,5,10,0.018518518518518517,0.018518518518518517
u_spu26/node_1,8,10,0.018518518518518517,0.05555555555555555
u_spu26/node_2,10,10,0.018518518518518517,0.09259259259259259
u_spu26/node_3,5,15,0.05555555555555555,0.018518518518518517
u_spu26/node_4,10,15,0.05555555555555555,0.09259259259259259
u_spu26/node_5,5,20,0.09259259259259259,0.018518518518518517
u_spu26/node_6,8,20,0.09259259259259259,0.05555555555555555
u_spu26/node_7,10,20,0.09259259259259259,0.09259259259259259
u_spu26/node_8,12,10,0.018518518518518517,0.12962962962962962
u_spu26/node_9,14,10,0.018518518518518517,0.16666666666666666
u_spu26/node_10,17,10,0.018518518518518517,0.2037037037037037
u_spu26/node_11,12,15,0.05555555555555555,0.12962962962962962
u_spu26/node_12,17,15,0.05555555555555555,0.2037037037037037
u_spu26/node_13,12,20,0.09259259259259259,0.12962962962962962
u_spu26/node_14,14,20,0.09259259259259259,0.16666666666666666
u_spu26/node_15,17,20,0.09259259259259259,0.2037037037037037
u_spu26/node_16,19,10,0.018518518518518517,0.24074074074074073
u_spu26/node_17,22,10,0.018518518518518517,0.2777777777777778
u_spu26/node_18,24,10,0.018518518518518517,0.31481481481481477
u_spu26/node_19,19,15,0.05555555555555555,0.24074074074074073
u_spu26/node_20,24,15,0.05555555555555555,0.31481481481481477
u_spu26/node_21,19,20,0.09259259259259259,0.24074074074074073
u_spu26/node_22,22,20,0.09259259259259259,0.2777777777777778
u_spu26/node_23,24,20,0.09259259259259259,0.31481481481481477
u_spu26/node_24,5,24,0.12962962962962962,0.018518518518518517
u_spu26/node_25,8,24,0.12962962962962962,0.05555555555555555
u_spu26/node_26,10,24,0.12962962962962962,0.09259259259259259
u_spu26/node_27,5,29,0.16666666666666666,0.018518518518518517
u_spu26/node_28,10,29,0.16666666666666666,0.09259259259259259
u_spu26/node_29,5,34,0.2037037037037037,0.018518518518518517
u_spu26/node_30,8,34,0.2037037037037037,0.05555555555555555
u_spu26/node_31,10,34,0.2037037037037037,0.09259259259259259
u_spu26/node_32,19,24,0.12962962962962962,0.24074074074074073
