instance,row,col,x,y
u_spu13/seed_0,36,72,0.5,0.5
u_spu13/seed_1,36,87,0.62,0.5
u_spu13/seed_2,39,85,0.6039230484541327,0.5599999999999999
u_spu13/seed_3,42,79,0.56,0.6039230484541326
u_spu13/seed_4,43,72,0.5,0.62
u_spu13/seed_5,42,64,0.44000000000000006,0.6039230484541327
u_spu13/seed_6,39,58,0.39607695154586736,0.5599999999999999
u_spu13/seed_7,36,56,0.38,0.5
u_spu13/seed_8,32,58,0.39607695154586736,0.44000000000000006
u_spu13/seed_9,29,64,0.43999999999999995,0.3960769515458674
u_spu13/seed_10,28,72,0.5,0.38
u_spu13/seed_11,29,79,0.56,0.39607695154586736
u_spu13/seed_12,32,85,0.6039230484541326,0.43999999999999995
